config_id,framework,backend,label,case_id,concurrency,prompt_tokens,max_tokens,batch_index,request_index,elapsed_ms,completion_tokens,total_tokens,tok_per_s,status,error
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,2,1,12067,512,4835,42.4298,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,2,2,12049,512,4835,42.4932,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,2,3,12084,512,4835,42.3701,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,2,4,12096,512,4835,42.3280,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,3,1,12050,512,4835,42.4896,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,3,2,12098,512,4835,42.3210,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,3,3,12068,512,4835,42.4263,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,3,4,12085,512,4835,42.3666,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,4,1,12067,512,4835,42.4298,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,4,2,12048,512,4835,42.4967,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,4,3,12095,512,4835,42.3315,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,4,4,12083,512,4835,42.3736,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,5,1,12051,512,4835,42.4861,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,5,2,12069,512,4835,42.4227,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,5,3,12086,512,4835,42.3631,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,5,4,12098,512,4835,42.3210,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,1,1,7328,256,2445,34.9345,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,1,2,7395,256,2445,34.6180,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,1,3,7347,256,2445,34.8442,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,1,4,7347,256,2445,34.8442,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,1,5,7382,256,2445,34.6789,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,1,6,7365,256,2445,34.7590,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,1,7,7382,256,2445,34.6789,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,1,8,7364,256,2445,34.7637,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,2,1,7341,256,2445,34.8726,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,2,2,7411,256,2445,34.5432,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,2,3,7360,256,2445,34.7826,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,2,4,7379,256,2445,34.6930,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,2,5,7379,256,2445,34.6930,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,2,6,7398,256,2445,34.6039,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,2,7,7397,256,2445,34.6086,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,2,8,7409,256,2445,34.5526,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,3,1,7338,256,2445,34.8869,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,3,2,7357,256,2445,34.7968,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c8_1k_each,8,2189,256,3,3,7376,256,2445,34.7072,ok,
